political_party,sitting_year,keyword,score
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2024,πλευς,5.106516854593081
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2024,στ,0.7127060421078016
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2024,τεμπ,2.231789782087362
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,αποδημ,6.399766796090422
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,βουλευτ,3.3712282961881863
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,εκλογικ,3.107040363556006
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,μητσοτακ,4.777672031785215
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,νοσοκομει,6.29004691424744
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,ομιλητ,4.910708196498673
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,οποι,6.474948998493196
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,πανεπιστημι,1.6549074229340242
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,στ,6.464599110461271
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2023,υγει,6.2990680897313265
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,αποδημ,0.8818741589109719
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,βουλευτ,2.7592631591882477
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,εκλογικ,3.7345872230108683
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,μητσοτακ,1.4026581785145023
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,νοσοκομει,2.4628871125526963
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,ομιλητ,2.4912669929229323
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,οποι,2.337056190464024
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,πανεπιστημι,12.567186761128323
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,στ,1.8281679506209905
Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,2024,υγει,0.35703287321018473
ανεξαρτητοι (εκτος κομματος),1990,προεδρ,0.9445358766602998
ανεξαρτητοι (εκτος κομματος),1991,προεδρ,0.1635889023544661
ανεξαρτητοι (εκτος κομματος),1992,αρθρ,0.6100037250954654
ανεξαρτητοι (εκτος κομματος),1992,οποι,0.22874307630172264
ανεξαρτητοι (εκτος κομματος),1992,πολιτικ,0.6798547831399768
ανεξαρτητοι (εκτος κομματος),1992,πρεπ,0.08796107170410927
ανεξαρτητοι (εκτος κομματος),1992,προεδρ,0.11350166915632144
ανεξαρτητοι (εκτος κομματος),1992,υπουργ,0.514488642894211
ανεξαρτητοι (εκτος κομματος),1993,αρθρ,0.14694965896564866
ανεξαρτητοι (εκτος κομματος),1993,μου,0.11083825752947457
ανεξαρτητοι (εκτος κομματος),1993,οποι,0.17394660382323668
ανεξαρτητοι (εκτος κομματος),1993,πρεπ,0.13936559248468003
ανεξαρτητοι (εκτος κομματος),1993,προεδρ,0.7068989118911786
ανεξαρτητοι (εκτος κομματος),1993,υπουργ,0.8869417673286948
ανεξαρτητοι (εκτος κομματος),1999,νομοσχεδι,0.09564364037653757
ανεξαρτητοι (εκτος κομματος),1999,οποι,0.5488219017018965
